sim_time_sec,system_state,box_count,avg_cycle_time_sec,jam_count,throughput_per_hour,fault_message
5.50,2,0,0.00,0,0.0,
10.74,2,0,0.00,0,0.0,
15.77,2,0,0.00,0,0.0,
21.27,2,0,0.00,0,0.0,
26.77,2,0,0.00,0,0.0,
32.27,2,0,0.00,0,0.0,
37.61,2,0,0.00,0,0.0,
42.99,2,0,0.00,0,0.0,
48.46,2,0,0.00,0,0.0,
53.98,2,0,0.00,0,0.0,
59.48,2,1,4.80,0,61.6,
64.73,2,1,4.80,0,56.5,
70.11,2,1,4.80,0,52.1,
75.62,2,1,4.80,0,48.2,
81.09,2,1,4.80,0,45.0,
86.59,2,1,4.80,0,42.1,
92.09,2,1,4.80,0,39.5,
97.59,2,1,4.80,0,37.3,
103.09,2,2,4.80,0,70.5,
108.60,2,2,4.80,0,66.9,
113.77,2,2,4.80,0,63.8,
119.30,2,2,4.80,0,60.9,
124.72,2,2,4.80,0,58.2,
130.02,2,2,4.80,0,55.8,
135.24,2,2,4.80,0,53.6,
140.72,2,2,4.80,0,51.5,
145.80,2,3,4.81,0,74.6,
150.97,2,3,4.81,0,72.0,
156.24,2,3,4.81,0,69.6,
161.61,2,3,4.81,0,67.2,
166.90,2,3,4.81,0,65.1,
172.41,2,3,4.81,0,63.0,
177.41,2,3,4.81,0,61.2,
182.94,2,3,4.81,0,59.4,
188.28,2,3,4.81,0,57.7,
193.79,2,4,4.82,0,74.7,
198.80,2,4,4.82,0,72.8,
203.89,2,4,4.82,0,71.0,
209.39,2,4,4.82,0,69.1,
214.72,2,4,4.82,0,67.4,
220.22,2,4,4.82,0,65.7,
225.73,2,4,4.82,0,64.1,
231.24,2,4,4.82,0,62.5,
236.41,2,5,4.82,0,76.5,
241.91,2,5,4.82,0,74.7,
247.30,2,5,4.82,0,73.1,
252.81,2,5,4.82,0,71.5,
258.27,2,5,4.82,0,70.0,
263.77,2,5,4.82,0,68.5,
269.30,2,5,4.82,0,67.1,
274.77,2,5,4.82,0,65.7,
279.94,2,5,4.82,0,64.5,
285.44,2,6,4.82,0,75.9,
290.95,2,6,4.82,0,74.5,
296.45,2,6,4.82,0,73.1,
301.75,2,6,4.82,0,71.8,
307.22,2,6,4.82,0,70.5,
312.64,2,6,4.82,0,69.3,
318.14,2,6,4.82,0,68.1,
323.47,2,6,4.82,0,67.0,
328.97,2,7,4.82,0,76.8,
334.40,2,7,4.82,0,75.6,
