sim_time_sec,system_state,box_count,avg_cycle_time_sec,jam_count,throughput_per_hour,fault_message
5.51,2,0,0.00,0,0.0,
10.51,2,0,0.00,0,0.0,
15.52,2,0,0.00,0,0.0,
20.55,2,0,0.00,0,0.0,
26.05,2,0,0.00,0,0.0,
31.09,2,0,0.00,0,0.0,
36.30,2,0,0.00,0,0.0,
41.60,2,0,0.00,0,0.0,
46.77,2,0,0.00,0,0.0,
52.24,2,1,4.80,0,70.3,
57.74,2,1,4.80,0,63.4,
63.51,2,1,4.80,0,57.6,
68.55,2,1,4.80,0,53.3,
73.68,2,1,4.80,0,49.5,
79.18,2,1,4.80,0,46.0,
84.41,2,1,4.80,0,43.2,
89.64,2,1,4.80,0,40.6,
95.00,2,2,4.82,0,76.6,
100.25,2,2,4.82,0,72.5,
105.66,2,2,4.82,0,68.8,
111.17,2,2,4.82,0,65.4,
116.67,2,2,4.82,0,62.2,
121.95,2,2,4.82,0,59.5,
126.97,2,2,4.82,0,57.2,
132.47,2,2,4.82,0,54.8,
137.97,2,2,4.82,0,52.6,
143.48,2,3,4.81,0,75.8,
148.98,2,3,4.81,0,73.0,
154.00,2,3,4.81,0,70.6,
159.41,2,3,4.81,0,68.2,
164.89,2,3,4.81,0,65.9,
170.30,2,3,4.81,0,63.8,
175.60,2,3,4.81,0,61.9,
180.70,2,3,4.81,0,60.1,
186.08,2,4,4.81,0,77.8,
191.50,2,4,4.81,0,75.6,
197.00,2,4,4.81,0,73.5,
202.04,2,4,4.81,0,71.6,
207.07,2,4,4.81,0,69.9,
212.58,2,4,4.81,0,68.1,
217.62,2,4,4.81,0,66.5,
223.13,2,4,4.81,0,64.8,
228.63,2,5,4.81,0,79.1,
234.00,2,5,4.81,0,77.3,
239.51,2,5,4.81,0,75.5,
244.88,2,5,4.81,0,73.8,
250.28,2,5,4.81,0,72.2,
255.76,2,5,4.81,0,70.7,
261.26,2,5,4.81,0,69.2,
266.77,2,5,4.81,0,67.7,
271.92,2,5,4.81,0,66.4,
277.42,2,6,4.81,0,78.1,
282.81,2,6,4.81,0,76.6,
288.22,2,6,4.81,0,75.2,
293.72,2,6,4.81,0,73.8,
298.78,2,6,4.81,0,72.5,
303.79,2,6,4.81,0,71.3,
309.08,2,6,4.81,0,70.1,
314.44,2,6,4.81,0,68.9,
319.72,2,7,4.81,0,79.1,
325.22,2,7,4.81,0,77.7,
330.71,2,7,4.81,0,76.4,
335.78,2,7,4.81,0,75.3,
340.81,2,7,4.81,0,74.2,
346.27,2,7,4.81,0,73.0,
351.42,2,7,4.81,0,71.9,
356.58,2,7,4.81,0,70.9,
362.06,2,7,4.81,0,69.8,
367.15,2,8,4.81,0,78.7,
372.38,2,8,4.81,0,77.5,
377.69,2,8,4.81,0,76.5,
382.73,2,8,4.81,0,75.4,
388.24,2,8,4.81,0,74.4,
393.74,2,8,4.81,0,73.3,
399.13,2,8,4.81,0,72.3,
404.18,2,8,4.81,0,71.4,
409.69,2,9,4.81,0,79.3,
415.04,2,9,4.81,0,78.3,
420.37,2,9,4.81,0,77.3,
425.72,2,9,4.81,0,76.3,
430.88,2,9,4.81,0,75.4,
436.18,2,9,4.81,0,74.5,
441.23,2,9,4.81,0,73.6,
446.58,2,9,4.81,0,72.7,
452.05,2,9,4.81,0,71.8,
457.53,2,10,4.81,0,78.9,
462.76,2,10,4.81,0,78.0,
467.89,2,10,4.81,0,77.1,
472.95,2,10,4.81,0,76.3,
478.31,2,10,4.81,0,75.4,
483.79,2,10,4.81,0,74.6,
489.29,2,10,4.81,0,73.7,
494.38,2,10,4.81,0,73.0,
499.46,2,11,4.81,0,79.4,
504.88,2,11,4.81,0,78.6,
510.34,2,11,4.81,0,77.7,
515.63,2,11,4.81,0,76.9,
521.09,2,11,4.81,0,76.1,
526.55,2,11,4.81,0,75.3,
531.69,2,11,4.81,0,74.6,
537.20,2,11,4.81,0,73.9,
542.67,2,12,4.81,0,79.8,
547.88,2,12,4.81,0,79.0,
553.40,2,12,4.81,0,78.2,
558.77,2,12,4.81,0,77.5,
563.83,2,12,4.81,0,76.8,
569.24,2,12,4.81,0,76.0,
574.71,2,12,4.81,0,75.3,
580.21,2,12,4.81,0,74.6,
585.72,2,13,4.81,0,80.0,
591.00,2,13,4.81,0,79.3,
596.50,2,13,4.81,0,78.6,
601.95,2,13,4.81,0,77.9,
607.00,2,13,4.81,0,77.2,
612.43,2,13,4.81,0,76.5,
617.50,2,13,4.81,0,75.9,
623.01,2,13,4.81,0,75.2,
628.51,2,13,4.81,0,74.6,
633.57,2,13,4.81,0,74.0,
639.08,2,13,4.81,0,73.3,
644.32,2,14,4.81,0,78.3,
649.54,2,14,4.81,0,77.7,
654.77,2,14,4.81,0,77.1,
659.83,2,14,4.81,0,76.5,
665.34,2,14,4.81,0,75.9,
670.85,2,14,4.81,0,75.2,
676.09,2,14,4.81,0,74.7,
681.59,2,14,4.81,0,74.1,
686.78,2,14,4.81,0,73.5,
692.10,2,14,4.81,0,72.9,
697.56,3,14,4.81,1,72.4,JAM DETECTED AT INFEED (Station A)
702.91,2,14,4.81,1,72.2,
707.98,2,14,4.81,1,71.7,
713.48,2,14,4.81,1,71.1,
718.62,2,14,4.81,1,70.6,
723.94,2,14,4.81,1,70.1,
729.44,2,14,4.81,1,69.6,
734.76,2,14,4.81,1,69.1,
740.27,2,14,4.81,1,68.5,
745.48,2,14,4.81,1,68.1,
750.85,2,14,4.81,1,67.6,
755.98,2,15,8.74,1,71.9,
761.12,2,15,8.74,1,71.4,
766.63,2,15,8.74,1,70.9,
772.13,2,15,8.74,1,70.4,
777.61,2,15,8.74,1,69.9,
782.84,2,15,8.74,1,69.4,
788.34,2,15,8.74,1,68.9,
793.76,2,15,8.74,1,68.5,
799.28,2,16,8.49,1,72.5,
804.65,2,16,8.49,1,72.0,
809.70,2,16,8.49,1,71.6,
815.05,2,16,8.49,1,71.1,
820.45,2,16,8.49,1,70.6,
825.90,2,16,8.49,1,70.2,
831.40,2,16,8.49,1,69.7,
836.66,2,16,8.49,1,69.3,
842.15,2,17,8.28,1,73.1,
847.39,2,17,8.28,1,72.7,
852.56,2,17,8.28,1,72.2,
858.07,2,17,8.28,1,71.7,
863.39,2,17,8.28,1,71.3,
868.47,2,17,8.28,1,70.9,
873.97,2,17,8.28,1,70.4,
879.34,2,17,8.28,1,70.0,
884.84,2,17,8.28,1,69.6,
890.27,2,17,8.28,1,69.1,
895.77,2,17,8.28,1,68.7,
901.28,2,18,8.08,1,72.3,
